rank,name,opendate,sales,sales_rate,ac_sales,attend,ac_attend,screen,show_freq,rep_na,na,pro_com,dis_com,age_rate,genre,director,actor,profit_line,,,,,
55,라라랜드,2016-12-07,11842600,0,2.98E+10,1356,3570395,727,46,미국,미국,,판씨네마(주),12세이상관람가,"뮤지컬,로맨틱코미디,드라마",데이미언 셔젤,"라이언 고슬링,엠마 스톤",,,,,,
56,인턴,2015-09-24,1375700,0,2.85E+10,203,3611166,659,10,미국,미국,,워너브러더스 코리아(주),12세이상관람가,코미디,낸시 마이어스,"앤 해서웨이,로버트 드니로,르네 루소,냇 울프,아담 드바인,앤드류 라넬스",,,,,,
57,스타워즈: 깨어난 포스,2015-12-17,8031700,0,2.83E+10,862,3273378,940,37,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,어드벤처,판타지",J.J. 에이브럼스,"해리슨 포드,마크 해밀,캐리 피셔,사이몬 페그,오스카 아이삭,막스 본 시도우,돔놀 글리슨",,,,,,
58,미션 임파서블: 폴아웃,2018-07-25,27966590954,0.578,2.80E+10,3295921,3299648,1957,40811,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,첩보",크리스토퍼 매쿼리,"톰 크루즈,헨리 카빌",,,,,,
59,코코,2018-01-11,1377000,0,2.77E+10,210,3512981,1177,7,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,판타지,가족,음악",리 언크리치,"안소니 곤잘레스,벤자민 브랫",,,,,,
60,데드풀,2016-02-17,2241300,0,2.76E+10,268,3317134,1036,17,미국,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,SF",팀 밀러,"라이언 레놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드",,,,,,
64,마녀,2018-06-27,1316133900,0.027,2.70E+10,163637,3163957,1117,7477,한국,한국,,워너브러더스 코리아(주),15세이상관람가,"미스터리,액션,SF",박훈정,"김다미,조민수,박희순",6256000,,,,,
62,귀향,2016-02-24,2537000,0,2.72E+10,409,3586006,876,5,한국,한국,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,15세이상관람가,드라마,조정래,"손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나",,,,,,
63,비긴 어게인,2014-08-13,517000,0,2.71E+10,71,3429708,4,15,미국,미국,,판씨네마(주),15세이상관람가,멜로/로맨스,존 카니,"키이라 나이틀리,마크 러팔로,애덤 리바인,헤일리 스테인펠드,제임스 코든,캐서린 키너",,,,,,
65,탐정: 리턴즈,2018-06-13,16489700,0,2.69E+10,2583,3151245,1137,152,한국,한국,,씨제이이앤엠(주),15세이상관람가,"코미디,범죄,스릴러",이언희,"권상우,성동일,이광수",4896000,,,,,
68,아이 캔 스피크,2017-09-21,1260000,0,2.55E+10,252,3280099,89,3,한국,한국,,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",,"드라마,휴먼 코미디",김현석,,4896000,,,,,
66,터미네이터 제니시스,2015-07-02,4290000,0,2.66E+10,572,3240370,1113,6,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런 테일러,"아놀드 슈왈제네거,제이슨 클락,에밀리아 클라크,제이 코트니,J.K. 시몬스,다요 오케니이,맷 스미스,코트니 B. 반스,이병헌,아론 V. 윌리엄슨",,,,,,
67,분노의 질주: 더 세븐,2015-04-01,12311000,0.001,2.65E+10,947,3248902,818,3,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,범죄,스릴러",제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀",,,,,,
84,살인자의 기억법,2017-09-06,1500000,0,2.14E+10,300,2658557,5,15,한국,한국,,(주)쇼박스,,"범죄,스릴러",원신연,,5984000,,,,,
69,나우 유 씨 미 2,2016-07-13,1608500,0,2.51E+10,199,3100113,1200,26,미국,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"범죄,액션",존 추,"제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랑코,다니엘 래드클리프,리지 캐플란,주걸륜,마이클 케인,모건 프리먼",,,,,,
70,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,38691100,0.002,2.50E+10,4702,3048692,1356,189,미국,미국,,월트디즈니컴퍼니코리아(주) 유한책임회사,12세이상관람가,"판타지,모험,액션","요아킴 뢴닝,에스펜 산드베르그","조니 뎁,카야 스코델라리오,올랜도 블룸,하비에르 바르뎀,브렌튼 스웨이츠,제프리 러쉬,데이빗 웬햄,골시프테 파라하니,스티븐 그레이엄,케빈 맥널리,폴 매카트니,마틴 클레바,로드니 아피프",,,,,,
71,덩케르크,2017-07-20,1218500,0,2.46E+10,138,2792327,8,8,미국,"미국,영국",,워너브러더스 코리아(주),,"액션,드라마,스릴러,전쟁",크리스토퍼 놀란,,,,,,,
72,엑스맨: 아포칼립스,2016-05-25,3680000,0,2.45E+10,460,2938528,1262,19,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,어드벤처,판타지,SF",브라이언 싱어,"제임스 맥어보이,마이클 패스벤더,제니퍼 로렌스,오스카 아이삭,니콜라스 홀트,로즈 번,타이 쉐리던,소피 터너,올리비아 문,루카스 틸",,,,,,
73,호빗: 다섯 군대 전투,2014-12-17,8380200,0,2.43E+10,1118,2835952,350,28,미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,올랜도 블룸,크리스토퍼 리,휴고 위빙,에반젤린 릴리",,,,,,
74,프리즌,2017-03-23,1000000,0,2.38E+10,200,2931897,1047,10,한국,한국,(주)큐로홀딩스,(주)쇼박스,청소년관람불가,"범죄,액션",나현,"한석규,김래원,정웅인,조재윤,신성록,곽민호",,,,,,
75,앤트맨,2018-09-03,29106500,0.001,2.36E+10,2472,2844267,949,69,미국,"미국,영국",,월트디즈니컴퍼니코리아(주),12세이상관람가,"액션,SF",페이튼 리드,"폴 러드,마이클 더글라스,코리 스톨",,,,,,
76,스물,2015-03-25,1809000,0,2.36E+10,336,3043685,926,38,한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영",,,,,,
77,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,6259500,0,2.34E+10,771,2735215,1218,34,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF",제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼",,,,,,
78,형,2016-11-23,7346200,0,2.31E+10,1154,2981867,993,8,한국,한국,굿초이스컷픽쳐스(주),씨제이이앤엠(주),12세이상관람가,"코미디,드라마",권수경,"조정석,도경수,박신혜,권지훈,김승아,김진희,이연수",,,,,,
79,극비수사,2015-06-18,6784500,0,2.24E+10,931,2860786,894,83,한국,한국,"(주)제이콘컴퍼니,(주)영화사신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철",,,,,,
80,빅 히어로,2015-01-21,2244500,0,2.20E+10,287,2801779,825,10,미국,미국,,월트디즈니컴퍼니코리아(주),전체관람가,"애니메이션,액션,코미디","돈 홀,크리스 윌리암스","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,데이몬 웨이언스 주니어,마야 루돌프,제임스 크롬웰,알란 터딕",,,,,,
81,미스 페레그린과 이상한 아이들의 집,2016-09-28,8112000,0,2.18E+10,937,2717968,904,48,미국,"미국,벨기에,영국",,이십세기폭스코리아(주),12세이상관람가,"미스터리,판타지",팀 버튼,"에바 그린,사무엘 L. 잭슨,아사 버터필드,앨리슨 제니,킴 디킨스,주디 덴치,크리스 오다우드",,,,,,
82,메이즈 러너: 스코치 트라이얼,2015-09-16,11072000,0,2.16E+10,1461,2744160,804,50,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,스릴러",웨스 볼,"딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍",,,,,,
83,정글북,2016-06-09,22770800,0.001,2.15E+10,2976,2537303,924,106,미국,미국,,월트디즈니컴퍼니코리아(주),12세이상관람가,"어드벤처,드라마",타파스 차크라바르티,"닐 세티,빌 머레이,스칼렛 요한슨,벤 킹슬리,이드리스 엘바,루피타 뇽오,크리스토퍼 월켄,지안카를로 에스포지토",,,,,,
88,보안관,2017-05-03,6873000,0,2.08E+10,1482,2587891,1091,11,한국,한국,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,코미디",김형주,"이성민,조진웅,김성균,김종수,조우진,임현성,배정남",5440000,,,,,
