,rank,name,opendate,month,ac_sales,attend,ac_attend,screen,rep_na,dis_com,age_rate,genre,director,profit_line,actor,act_point
133,41,경성학교: 사라진 소녀들,2015-06-18,6,2.75E+09,2083,355923,489,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"미스터리,스릴러,드라마",이해영,2992000,박보영,0
134,46,석조저택 살인사건,2017-05-09,5,2.82E+09,113587,351942,539,한국,씨네그루(주)키다리이엔티,15세이상관람가,"스릴러, 서스펜스","정식,김휘",5168000,고수,0.001439475
135,70,싱글라이더,2017-02-22,2,2.68E+09,71037,351016,576,한국,워너브러더스 코리아(주),15세이상관람가,드라마,이주영,,이병헌,0.402350027
136,55,7호실,2017-11-15,11,2.68E+09,270102,347736,629,한국,롯데쇼핑㈜롯데엔터테인먼트,,액션,이용승,3264000,,
137,157,치외법권,2015-08-27,8,2.66E+09,3548,346480,446,한국,판씨네마(주),15세이상관람가,액션,신동엽,,,0.013124516
138,65,사랑하기 때문에,2017-01-04,1,2.67E+09,47710,340830,542,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,멜로/로맨스",주지홍,,차태현,0.291644349
139,21,허스토리,2018-06-27,6,2.47E+09,172304,328825,696,한국,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,민규동,4080000,,0.038246519
141,37,극적인 하룻밤,2015-12-03,12,2.62E+09,236360,321632,434,한국,CGV아트하우스,청소년관람불가,"멜로/로맨스,코미디",하기호,,윤계상,0.127042046
142,4,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,7,2.42E+09,317292,318926,762,한국,씨제이이앤엠(주),전체관람가,전체관람가,"애니메이션,판타지",,,
143,112,도리화가,2015-11-25,11,2.25E+09,55531,317450,563,한국,씨제이이앤엠(주),12세이상관람가,"사극,드라마",이종필,,,0.010229152
144,48,위대한 소원,2016-04-21,4,2.44E+09,18710,308398,524,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",남대중,,,0.010985761
145,57,개를 훔치는 완벽한 방법,2014-12-31,12,2.32E+09,140506,305290,199,한국,"(주)리틀빅픽쳐스,(주)대명문화공장",전체관람가,"드라마,가족",김성호,,,
146,170,혼숨,2016-10-26,10,2.26E+09,34049,288016,498,한국,(주)프레인글로벌,15세이상관람가,공포(호러),이두환,,,
147,64,다이노 타임,2015-04-30,4,2.10E+09,193040,283251,430,한국,씨제이이앤엠(주),전체관람가,"애니메이션,어드벤처,코미디","최윤석,존 카프카",,,
148,35,극장판 안녕 자두야,2016-05-04,5,2.13E+09,9890,279897,523,한국,씨제이이앤엠(주),전체관람가,애니메이션,손석우,,,
149,44,함정,2015-09-10,9,2.09E+09,3403,257990,445,한국,(주)인벤트스톤,청소년관람불가,"스릴러,범죄",권형진,,마동석,0.687868238
150,46,비밀은 없다,2016-06-23,6,2.02E+09,1606,250003,502,한국,씨제이이앤엠(주),청소년관람불가,스릴러,이경미,,손예진,0.022362078
151,95,소셜포비아,2015-03-12,3,1.96E+09,2996,249212,368,한국,CGV아트하우스,15세이상관람가,"스릴러,드라마",홍석재,,,0.000398924
152,24,미옥,2017-11-09,11,1.93E+09,192837,242737,635,한국,씨네그루(주)키다리이엔티,청소년관람불가,"범죄,액션,느와르",이안규,,,0.021335476
153,32,순정,2016-02-24,2,1.74E+09,63742,240484,467,한국,(주)리틀빅픽쳐스,12세이상관람가,드라마,이은희,,도경수,0.211134172
154,48,어느날,2017-04-05,4,1.85E+09,29517,234645,532,한국,"오퍼스픽쳐스,CGV아트하우스",15세이상관람가,멜로/로맨스,이윤기,2720000,김남길,0.133971612
155,52,치즈인더트랩,2018-03-14,3,1.89E+09,159720,228896,364,한국,(주)리틀빅픽쳐스,15세이상관람가,드라마,션 베이커,10880000,,
156,69,1급기밀,2018-01-24,1,1.73E+09,155672,218575,482,한국,(주)리틀빅픽쳐스,12세이상관람가,드라마,홍기선,3073600,김상경,0.051385913
157,18,속닥속닥,2018-07-13,7,1.90E+09,163284,217337,314,한국,(주)그노스,15세이상관람가,"공포,미스터리,스릴러",최상훈,,,
158,23,연애의 맛,2015-05-07,5,1.73E+09,1971,214539,398,한국,"(주)와우픽쳐스,(주)쇼박스",청소년관람불가,"멜로/로맨스,코미디",김아론,,,
159,39,남과 여,2016-02-25,2,1.65E+09,6764,203657,449,한국,(주)쇼박스,청소년관람불가,멜로/로맨스,이윤기,,,0.000736476
160,54,"무현, 두 도시 이야기",2016-10-26,10,1.52E+09,4384,193475,136,한국,(주)모멘텀엔터테인먼트,15세이상관람가,다큐멘터리,전인환,,,
161,131,글로리데이,2016-03-24,3,1.49E+09,5423,189257,494,한국,(주)엣나인필름,15세이상관람가,드라마,최정열,,,0.000574451
162,29,채비,2017-11-09,11,1.26E+09,71801,177256,480,한국,오퍼스픽쳐스,,드라마,조영준,326400,,
163,45,대배우,2016-03-30,3,1.25E+09,30282,169848,474,한국,"(주)대명문화공장,(주)리틀빅픽쳐스",12세이상관람가,코미디,석민우,,오달수,0.493505624
164,42,최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,2,1.17E+09,90685,155170,318,한국,에이원엔터테인먼트,전체관람가,애니메이션,이영준,,,
165,90,달빛궁궐,2016-09-07,9,1.15E+09,4529,152856,425,한국,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,판타지,어드벤처",김현주,,,0.003522171
166,47,워킹걸,2015-01-07,1,1.19E+09,16134,150125,308,한국,메가박스(주)플러스엠,청소년관람불가,"코미디,멜로/로맨스",정범식,,,0.006136327
167,84,비정규직 특수요원,2017-03-16,3,1.15E+09,2308,149720,497,한국,"(주)이수C&E,(주)스톰픽쳐스코리아",15세이상관람가,"코미디,액션",김덕수,,,0.010436194
168,195,서울역,2016-08-17,8,1.16E+09,29595,147017,440,한국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,애니메이션,연상호,,,0.001472951
169,19,은밀한 유혹,2015-06-04,6,1.14E+09,3259,145432,394,한국,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,범죄",윤재구,,,0.008829982
